id,Alcohol,Malic.acid,Ash,Acl,Mg,Phenols,Flavanoids,Nonflavanoid.phenols,Proanth,Color.int,Hue,OD,Proline,targaet
23216,13.16,4.6,2.35,21.5,93,1.74,0.63,0.47,1.55,7.1,0.55,1.86,740,3
68938,14.1,1.63,2.28,16.8,126,3.0,3.4,0.21,2.29,6.6,0.89,3.53,795,1
37540,12.87,1.35,2.32,18.0,85,1.51,0.5,0.63,0.64,9.899999,0.57,1.63,620,3
25928,13.05,1.5,2.1,12.4,92,2.48,2.43,0.17,2.08,3.58,1.23,2.69,990,1
29308,12.6,3.27,2.58,22.0,88,1.79,0.47,0.52,0.75,4.6,0.82,1.75,510,3
98388,13.62,4.12,2.38,20.0,89,2.0,0.92,0.47,1.02,7.7,0.56,1.62,660,3
93732,13.05,1.5,2.55,17.8,95,2.85,3.54,0.17,1.66,7.22,1.28,3.0,1285,1
31061,12.99,5.8,2.12,24.0,88,1.65,1.59,0.21,1.4,4.6,0.91,3.21,480,2
48364,13.11,5.04,2.35,18.5,92,1.48,0.5,0.63,0.8,4.9,0.77,1.58,520,3
36812,12.33,2.45,2.3,22.5,85,1.78,1.69,0.43,1.46,1.95,1.27,3.33,315,2
430,13.68,1.43,2.5,16.7,93,2.2,2.53,0.42,2.08,3.8,0.93,3.12,1120,1
993,13.05,1.77,2.1,11.2,92,2.72,3.27,0.17,2.91,7.2,1.12,2.91,1150,1
48480,13.5,3.91,2.36,22.0,89,2.0,0.92,0.61,1.02,7.65,0.54,1.58,620,3
43074,14.38,1.87,2.38,12.0,96,3.3,3.64,0.32,2.96,7.8,1.25,2.73,1547,1
87074,14.75,1.73,2.17,11.4,92,3.1,3.93,0.26,2.81,7.2,1.2,2.73,1150,1
70207,13.05,5.8,2.17,18.8,86,2.62,2.65,0.26,2.01,2.6,0.73,2.78,530,2
42401,14.22,3.99,2.51,15.2,116,3.0,3.17,0.2,1.85,6.6,1.04,2.88,1515,1
82441,14.1,2.15,2.3,16.8,105,2.95,3.32,0.24,1.85,7.22,1.01,2.88,1150,1
79101,12.33,0.99,2.4,23.0,101,2.2,2.13,0.43,1.46,2.9,1.31,3.12,315,2
21373,13.83,1.35,2.5,16.8,108,3.88,3.74,0.24,2.04,6.75,0.86,2.87,1285,1
93182,14.22,1.7,2.43,18.0,117,3.27,3.14,0.34,1.97,7.8,1.28,2.87,1515,1
5326,11.96,3.43,2.51,21.6,98,1.95,1.84,0.6,1.62,2.9,0.96,2.75,466,2
68204,11.81,2.68,2.29,18.0,112,2.56,2.11,0.3,1.22,2.6,0.96,3.38,438,2
66344,13.63,3.1,2.56,13.2,128,2.6,2.9,0.28,2.08,5.6,0.86,3.2,760,1
72203,12.42,4.43,2.46,21.0,98,2.62,2.65,0.39,2.81,2.8,0.82,3.0,345,2
67202,12.33,0.99,2.2,21.5,84,2.53,2.01,0.26,1.46,2.76,1.12,3.47,510,2
95462,12.72,1.81,1.92,18.5,78,1.65,2.03,0.39,1.64,3.9,0.69,3.17,372,2
54482,12.17,1.45,2.46,25.0,88,1.45,1.02,0.42,1.03,2.2,1.05,2.14,870,2
23199,12.53,3.03,2.64,27.0,88,1.9,0.84,0.52,0.84,4.92,0.89,1.27,720,3
34444,13.32,3.83,2.6,23.0,101,1.7,0.47,0.43,0.88,4.35,0.89,1.82,580,3
99719,11.65,2.05,2.16,22.5,80,1.38,1.02,0.37,1.35,1.95,1.08,2.06,870,2
24727,13.05,1.65,2.55,17.8,98,2.45,2.37,0.29,1.44,4.25,1.12,2.3,1095,1
86994,11.03,2.4,1.75,19.5,85,3.02,2.14,0.24,1.83,2.06,0.8,3.39,718,2
57629,14.16,3.7,2.48,20.0,91,1.35,0.61,0.37,1.55,8.66,0.6,1.71,615,3
92059,12.37,1.63,2.26,21.5,86,1.78,1.32,0.43,1.56,1.74,0.93,2.26,495,2
74406,13.72,1.86,2.36,16.4,101,2.61,2.76,0.27,1.81,5.6,1.02,4.0,1065,1
75718,11.84,1.39,2.16,22.5,84,2.56,2.29,0.42,1.66,2.76,1.23,2.96,278,2
38139,13.36,3.45,2.38,20.0,102,1.59,0.75,0.4,1.25,8.42,0.6,1.56,750,3
22259,13.41,1.77,2.36,16.6,111,3.15,3.17,0.2,1.97,5.43,1.25,2.87,1265,1
