Wine,Alcohol,Malic.acid,Ash,Acl,Mg,Phenols,Flavanoids,Nonflavanoid.phenols,Proanth,Color.int,Hue,OD,Proline
1,14.1,1.63,2.27,16.0,118,3.0,3.17,0.22,2.08,6.6,1.09,3.55,1045
1,13.88,1.75,2.28,16.5,118,2.6,2.33,0.26,1.36,5.85,0.92,2.78,1195
3,13.4,3.9,2.6,23.0,111,1.4,0.96,0.29,1.11,5.58,0.67,1.83,630
1,13.24,1.78,2.14,17.0,96,2.4,2.19,0.27,1.4,3.84,1.04,2.77,1020
1,13.83,1.75,2.6,20.0,96,2.6,2.51,0.17,1.36,4.2,1.12,3.59,1050
2,13.11,5.8,1.95,20.5,87,2.86,1.3,0.26,1.53,2.6,0.73,2.01,530
2,12.37,0.94,2.32,17.0,110,2.2,1.85,0.55,0.42,2.95,1.45,1.93,450
1,13.74,1.67,2.41,16.4,106,3.3,3.56,0.32,1.97,7.5,1.12,2.75,1285
2,13.34,1.51,2.51,25.0,101,2.42,1.3,0.27,1.03,3.4,1.36,2.78,472
3,13.4,1.9,2.7,27.0,111,1.48,0.92,0.43,1.87,13.0,0.57,1.56,750
3,12.93,3.3,2.35,21.5,106,1.39,0.7,0.53,0.86,4.9,0.77,1.58,750
1,13.73,1.53,2.7,19.5,110,2.95,2.74,0.3,1.86,5.4,1.19,3.0,1320
3,12.53,4.61,2.48,18.5,120,1.25,1.57,0.24,1.26,8.42,0.59,1.3,695
1,13.05,3.8,2.65,17.6,115,2.41,2.64,0.25,1.61,3.7,0.82,3.52,1035
3,12.79,5.04,2.54,22.0,86,1.65,0.47,0.61,1.15,5.58,0.89,1.56,580
3,12.82,2.58,2.48,21.5,98,1.3,1.09,0.53,0.83,5.7,0.75,1.58,675
1,13.07,2.05,2.68,18.6,107,2.8,2.92,0.31,2.81,6.2,0.88,3.33,1120
1,13.29,1.78,2.14,11.2,92,2.85,2.98,0.26,1.28,5.2,1.12,3.4,1280
2,12.37,1.17,1.71,15.0,136,1.85,1.28,0.28,2.76,4.6,1.06,2.65,415
2,12.25,1.19,2.42,22.5,84,2.56,2.01,0.34,1.46,3.25,0.96,3.38,378
2,12.7,3.87,2.62,21.6,94,2.86,2.55,0.43,2.01,2.6,1.19,3.4,515
1,13.63,3.1,2.67,18.6,102,3.0,3.24,0.3,2.81,5.4,1.04,2.93,1270
1,13.72,1.86,2.41,16.4,101,2.98,3.56,0.19,1.81,5.75,1.09,3.71,1285
1,14.37,1.95,2.5,16.7,121,3.85,3.74,0.32,2.04,6.75,0.86,3.69,1480
2,12.37,0.94,2.56,18.0,88,2.2,2.21,0.25,1.9,3.4,0.96,3.08,520
1,14.22,3.99,2.44,18.9,102,2.5,2.52,0.25,2.08,5.0,1.03,3.47,920
2,11.64,1.99,2.92,28.5,119,2.13,2.03,0.4,1.56,2.08,1.0,2.87,434
1,12.93,1.77,2.04,12.4,100,2.65,2.63,0.26,2.08,3.93,1.04,3.4,1020
3,14.34,4.95,2.23,20.0,91,1.8,0.34,0.47,0.88,5.7,0.91,1.82,550
2,12.64,1.34,2.74,26.5,92,2.2,2.53,0.43,1.97,2.94,1.36,3.12,495
2,11.56,2.05,2.7,21.6,94,1.6,1.5,0.58,1.42,2.8,0.906,2.27,680
3,13.4,5.51,2.32,22.0,93,2.0,0.8,0.61,1.02,6.62,0.54,1.48,650
3,13.27,3.26,2.15,18.5,98,1.59,0.55,0.63,1.4,7.3,0.59,1.51,740
1,13.72,1.86,2.25,16.0,118,2.6,2.76,0.26,1.62,4.7,1.16,2.74,1050
1,13.73,1.5,2.7,22.5,101,3.25,2.98,0.3,2.18,7.5,1.23,2.88,1450
2,12.42,1.61,1.82,19.5,92,2.5,2.27,0.26,1.37,3.3,1.05,2.77,415
2,13.49,1.25,2.3,23.0,86,2.42,1.3,0.34,1.56,2.57,0.89,2.01,488
3,13.52,3.37,2.72,25.0,123,1.55,1.28,0.21,1.11,5.0,0.58,1.33,630
1,14.37,1.87,2.38,12.0,102,3.1,3.93,0.32,2.96,5.4,1.2,3.0,1547
1,14.06,2.15,2.61,18.6,103,2.75,3.24,0.4,2.81,5.4,1.07,3.2,1270
1,13.68,1.86,2.36,17.2,101,3.1,3.4,0.19,1.86,5.75,1.09,3.44,1285
3,12.77,4.12,2.2,19.5,88,1.74,0.58,0.5,1.25,5.45,0.55,1.64,620
2,12.34,0.99,1.92,16.0,100,1.9,1.09,0.34,1.46,3.4,1.23,2.31,680
2,12.77,1.75,1.92,18.0,86,2.2,1.94,0.39,2.08,3.9,0.69,3.57,750
3,13.11,3.26,2.38,20.0,92,1.7,0.76,0.58,0.86,5.7,0.91,2.05,550
3,13.36,1.68,2.75,25.5,89,2.8,1.31,0.61,2.7,11.75,0.57,1.33,480
2,12.77,3.87,2.21,21.5,86,2.62,2.65,0.43,1.95,2.6,0.91,3.0,515
1,13.9,2.02,2.4,16.0,103,2.75,3.27,0.29,1.85,6.0,1.04,2.85,1065
2,12.37,1.21,2.53,18.1,98,2.42,2.5,0.37,1.46,2.9,0.79,2.3,680
1,14.06,2.15,2.61,18.6,103,2.42,2.52,0.29,1.98,5.0,0.86,2.51,680
2,12.07,1.51,2.74,26.5,139,3.3,2.89,0.42,1.77,3.0,1.36,3.5,937
1,13.87,1.57,2.12,15.6,90,2.2,2.53,0.29,1.77,4.7,1.18,2.48,1290
1,13.56,1.71,2.31,16.2,127,3.15,3.17,0.34,2.14,6.38,0.94,3.38,795
2,12.37,1.63,2.24,21.5,85,1.38,1.02,0.5,1.63,1.95,1.08,1.82,870
2,11.03,2.4,2.27,20.0,98,1.61,1.57,0.37,1.15,3.21,1.27,2.14,450
1,14.19,1.68,2.45,16.3,127,2.6,2.33,0.5,1.25,5.0,1.25,2.74,1295
3,13.48,3.55,2.54,22.0,111,1.7,0.96,0.43,1.54,9.01,0.74,1.75,750
2,12.29,2.83,2.29,22.0,90,1.68,2.03,0.48,1.35,3.21,0.96,3.12,315
1,13.94,1.48,2.28,15.6,118,2.95,3.17,0.22,1.85,5.65,1.12,3.44,1045
2,12.0,1.13,2.21,20.4,162,2.74,3.15,0.45,1.95,4.5,1.25,2.87,407
2,13.67,1.51,1.95,14.8,78,2.02,2.03,0.27,1.46,4.6,1.18,2.69,415
2,12.6,1.34,2.62,20.0,94,1.38,1.76,0.37,1.15,2.45,0.906,2.12,434
2,12.33,2.45,2.02,16.0,100,2.56,2.27,0.32,1.31,2.06,0.8,3.28,345
3,14.13,2.51,2.48,19.5,80,1.68,0.61,0.45,1.25,10.8,0.62,1.71,415
2,12.51,2.43,1.94,19.0,86,2.45,2.17,0.39,1.99,2.6,0.8,3.02,312
2,13.05,3.86,1.94,19.0,107,3.18,2.26,0.43,1.95,2.57,0.92,2.81,680
2,12.08,2.68,2.73,21.5,104,1.75,1.69,0.43,1.44,2.9,1.04,2.26,680
1,14.21,2.15,2.61,18.6,120,2.8,3.14,0.34,1.72,6.6,1.13,3.58,1310
2,12.37,1.13,1.36,17.5,94,1.85,1.84,0.26,1.46,4.6,1.17,2.65,562
2,12.43,1.52,1.75,19.5,97,2.11,1.6,0.14,1.15,3.8,0.95,2.52,415
1,14.22,3.99,2.51,13.2,116,2.8,2.98,0.2,2.08,5.1,1.04,3.59,1035
1,13.05,1.73,2.1,12.4,100,2.7,3.03,0.26,2.91,6.2,1.2,2.83,780
2,11.76,4.3,2.74,26.5,139,3.3,2.58,0.47,2.81,3.0,0.75,3.38,465
1,13.56,1.71,2.62,16.1,108,2.35,2.43,0.31,1.54,3.8,1.09,2.3,1015
3,13.71,5.04,2.45,20.5,95,1.8,0.7,0.52,1.35,10.2,0.55,1.62,740
3,12.2,3.88,2.2,21.0,102,1.38,0.34,0.4,0.88,4.9,0.65,1.75,515
1,13.48,1.81,2.65,16.1,108,2.35,2.53,0.29,3.28,6.2,1.19,2.87,1285
3,13.88,4.61,2.23,20.0,80,1.62,0.47,0.47,0.88,7.65,0.54,1.71,415
3,13.78,3.45,2.62,24.0,105,1.4,0.47,0.43,0.8,4.6,0.81,1.82,570
2,12.22,1.73,2.23,20.4,81,2.2,2.0,0.22,1.46,1.95,0.94,3.48,380
2,12.33,0.99,2.42,22.5,90,2.53,2.29,0.42,1.04,3.6,1.23,3.13,312
3,12.84,2.31,2.28,19.5,86,1.4,0.68,0.37,0.86,5.5,0.66,1.75,780
3,12.36,2.56,2.64,21.0,97,1.38,0.84,0.53,0.83,3.85,0.75,2.15,515
3,12.87,3.17,2.58,24.0,101,1.65,0.56,0.6,0.55,4.35,0.82,1.82,580
2,12.69,3.43,2.3,22.5,90,1.78,1.32,0.6,1.62,3.3,0.96,2.77,495
3,12.82,4.95,2.54,22.0,95,1.65,0.47,0.52,1.15,5.58,0.82,1.75,580
2,12.25,1.29,1.92,16.0,136,1.85,1.09,0.53,1.56,4.6,1.02,2.65,625
3,12.7,3.7,2.2,21.0,103,1.7,0.47,0.43,0.8,5.7,0.96,2.05,680
1,14.21,1.73,2.45,14.0,112,2.8,2.98,0.32,1.85,5.1,0.88,3.69,1060
2,11.87,2.12,2.02,19.0,80,2.23,2.0,0.32,1.87,4.68,1.27,3.17,580
1,14.06,4.04,2.51,15.2,116,3.88,3.49,0.2,2.18,6.8,0.89,3.45,1095
1,13.63,1.66,2.7,19.5,132,2.6,2.9,0.5,1.97,3.52,1.45,3.5,830
1,14.3,1.92,2.72,16.8,115,3.0,2.65,0.33,1.92,4.32,1.12,2.78,830
1,13.75,1.5,2.7,22.5,96,2.2,2.53,0.31,1.97,3.52,1.12,2.3,915
2,12.29,2.83,2.6,21.6,104,1.92,1.84,0.6,1.62,3.8,0.86,2.65,406
3,14.13,3.7,2.48,20.0,91,1.93,0.65,0.44,1.41,7.3,0.56,1.71,660
1,14.23,1.92,2.72,20.0,120,3.85,3.49,0.33,2.04,7.8,1.01,2.65,1480
1,13.73,1.73,2.41,16.0,89,2.65,2.9,0.34,1.69,5.6,1.15,2.9,1375
2,12.29,1.41,1.92,19.6,88,1.98,1.6,0.27,1.04,1.95,1.16,2.52,342
1,13.2,1.72,2.14,12.4,97,2.45,2.43,0.17,2.08,4.38,1.04,2.48,1035
3,12.36,3.12,2.32,21.5,102,1.25,1.22,0.17,0.83,4.1,0.66,1.42,650
2,12.0,0.92,2.3,17.0,97,2.42,2.5,0.55,1.9,3.05,1.45,2.5,407
3,12.77,3.9,2.2,19.5,88,1.74,0.66,0.47,0.97,6.62,0.64,1.83,660
1,14.21,1.48,2.48,15.6,95,3.85,3.74,0.24,1.97,6.75,0.86,3.13,1680
3,12.79,4.28,2.2,19.5,120,1.39,1.39,0.26,1.14,5.4,0.72,1.33,985
3,13.73,4.1,2.38,20.0,90,1.68,0.76,0.48,1.35,10.2,0.57,1.64,480
2,12.37,0.94,2.7,17.0,110,2.2,1.85,0.55,0.42,3.27,1.02,1.93,450
3,13.49,3.27,2.3,19.5,88,1.28,0.68,0.48,1.24,4.0,0.6,1.58,470
1,14.02,2.02,3.22,21.0,124,2.6,2.51,0.39,1.36,4.2,1.16,3.5,830
3,13.52,3.26,2.72,25.0,123,1.55,1.57,0.22,1.11,5.58,0.67,1.33,985
2,12.08,2.08,1.98,20.5,86,2.6,2.65,0.37,1.35,2.76,1.06,3.2,378
2,12.42,2.55,2.5,21.0,98,1.72,1.32,0.48,1.63,3.8,0.96,2.65,406
2,12.0,1.51,2.73,26.5,92,2.2,2.13,0.4,1.46,2.08,1.36,2.3,680
1,13.05,1.73,2.04,18.8,98,2.45,2.43,0.32,1.37,3.58,1.05,3.17,1020
1,13.56,1.73,2.65,16.1,94,2.4,2.69,0.31,1.98,3.8,0.92,2.87,1120
1,14.83,1.73,2.17,11.4,97,3.1,3.93,0.26,2.96,6.1,1.25,3.0,1547
3,12.87,2.59,2.48,21.5,98,1.15,0.83,0.4,0.83,4.9,0.74,1.58,675
3,13.11,2.31,2.37,21.5,106,1.5,0.7,0.39,0.97,8.21,0.61,1.68,750
3,13.11,5.04,2.32,18.5,120,1.65,0.68,0.29,1.46,9.3,0.55,1.86,840
1,12.93,2.05,2.4,20.5,101,3.0,2.98,0.2,2.38,6.2,1.07,3.44,1060
2,12.0,2.89,2.21,18.0,88,2.45,2.25,0.3,1.99,2.15,1.15,3.3,378
3,12.84,2.59,2.48,21.5,98,1.3,1.09,0.53,0.83,4.9,0.75,1.58,660
